ID;NOM_CHF;STATUT;INSEE_COM;x;y
CHEFLIEU0000000009796802;Toulouse;Préfecture de région;31555;574178,8;6279606,8
CHEFLIEU0000000009797729;Marseille;Préfecture de région;13055;892924,1;6247062,6
CHEFLIEU0000000009763891;Lille;Préfecture de région;59350;704074,5;7059443,4
CHEFLIEU0000000009782272;Dijon;Préfecture de région;21231;854217,7;6693399,9
CHEFLIEU0000000009792246;Bordeaux;Préfecture de région;33063;417216,7;6421809,1
CHEFLIEU0000000009778009;Rennes;Préfecture de région;35238;351870,4;6789645,9
CHEFLIEU0000000009773885;Strasbourg;Préfecture de région;67482;1050376,6;6840891,3
CHEFLIEU0000000009782710;Nantes;Préfecture de région;44109;355546,7;6689599,7
CHEFLIEU0000000009768430;Rouen;Préfecture de région;76540;562354,6;6928720,8
CHEFLIEU0000000009800112;Ajaccio;Préfecture de région;2A004;1176426,4;6108967,8
CHEFLIEU0000000009779537;Orléans;Préfecture de région;45234;618116;6756324,3
CHEFLIEU0000000009788603;Lyon;Préfecture de région;69123;843116,5;6519367,1
